Country,Gender,Major
Indonesia,Female,Business Administration
Indonesia,Male,International Business Administration
Indonesia,Male,International Business
Indonesia,Female,International Business
Indonesia,Male,International Business Administration
Indonesia,Female,Food Science
Taiwan,Female,Foreign Languages and Literature
Indonesia,Female,International Business
Indonesia,Female,International Business
Spain,Male,Marketing and Advertising
Indonesia,Male,Architecture
Indonesia,Female,Visual Communication Design
Indonesia,Female,Doponegoro Chemical Engineering
Russia,Female,International Business Administration
Indonesia,Female,Psychology
Vietnam,Male,Logistics and Supply Chain Management
Indonesia,Female,THU Chinese Language Center
Vietnam,Female,Industry Mechatronics
Vietnam,Male,Business administration - Human resource management
Spain,Female,East Asian Studies
Indonesia,Female,Industrial Engineering
Malaysia,Male,Engineering
Indonesia,Female,UGM Property Management and Appraisal
Mongolia,Male,Arts in Business Studies
Indonesia,Female,Economics and Accounting
Indonesia,Male,Civil Engineering
Indonesia,Female,Accounting
Indonesia,Female,Management
Vietnam,Male,Business Adminitrator
Indonesia,Male,Information Management
Indonesia,Male,Food Technology
Indonesia,Female,Public Administration
Vietnam,Female,Business administration
Indonesia,Female,University of Indonesia Architecture
Indonesia,Male,Computer Science
Vietnam,Female,International Business
Indonesia,Female,Business Administration
Indonesia,Female,Culinology
Vietnam,Female,Information Technology
Indonesia,Male,Mathematics
